deputy_id,nom,prenom,groupe_abrev,groupe_nom,parti_rattachement,dept,circo,period_start,period_end,scrutins_eligibles,votes_exprimes,non_votant,absent,participation_rate,pour_count,contre_count,abst_count,amd_authored,amd_adopted,amd_adoption_rate,amd_cosigned,interventions_count,interventions_chars,top_dossier_id,top_dossier_titre,top_dossier_score
PA1008,David,Alain,SOC,Socialistes et apparentés,Parti socialiste,Gironde,4,2025-09-01,2026-02-28,2774,282,0,2492,0.1017,144,132,6,2,1,0.5000,1717,0,0,,,
PA1567,Guedj,Jérôme,SOC,Socialistes et apparentés,Parti socialiste,Essonne,6,2025-09-01,2026-02-28,2774,891,0,1883,0.3212,457,375,59,192,38,0.1979,1583,0,0,,,
PA1592,Habib,David,LIOT,"Libertés, Indépendants, Outre-mer et Territoires",Régions et peuples solidaires,Pyrénées-Atlantiques,3,2025-09-01,2026-02-28,2774,211,0,2563,0.0761,135,62,14,7,0,0.0000,287,0,0,,,
PA1630,Herbillon,Michel,DR,Droite Républicaine,Les Républicains,Val-de-Marne,8,2025-09-01,2026-02-28,2774,276,0,2498,0.0995,93,169,14,18,2,0.1111,320,0,0,,,
PA1654,Hollande,François,SOC,Socialistes et apparentés,Parti socialiste,Corrèze,1,2025-09-01,2026-02-28,2774,510,0,2264,0.1839,250,225,35,0,0,,1584,0,0,,,
PA227089,Létard,Valérie,LIOT,"Libertés, Indépendants, Outre-mer et Territoires","Union des démocrates européens, centristes et indépendants",Nord,21,2025-09-01,2026-02-28,2774,65,0,2709,0.0234,21,36,8,11,2,0.1818,284,0,0,,,
PA266793,Bony,Jean-Yves,DR,Droite Républicaine,Non rattaché(s),Cantal,2,2025-09-01,2026-02-28,2774,722,0,2052,0.2603,257,422,43,16,6,0.3750,510,0,0,,,
PA266797,Gosselin,Philippe,DR,Droite Républicaine,Les Républicains,Manche,1,2025-09-01,2026-02-28,2774,420,0,2354,0.1514,228,172,20,34,2,0.0588,517,0,0,,,
PA266808,Rolland,Vincent,DR,Droite Républicaine,Les Républicains,Savoie,2,2025-09-01,2026-02-28,2774,337,0,2437,0.1215,109,220,8,73,8,0.1096,593,0,0,,,
PA267042,Favennec-Bécot,Yannick,LIOT,"Libertés, Indépendants, Outre-mer et Territoires",Horizons,Mayenne,3,2025-09-01,2026-02-28,2774,511,0,2263,0.1842,208,290,13,14,0,0.0000,360,0,0,,,
PA267200,Huyghe,Sébastien,EPR,Ensemble pour la République,Les Républicains,Nord,5,2025-09-01,2026-02-28,2774,1057,0,1717,0.3810,366,664,27,57,7,0.1228,417,0,0,,,
