deputy_id,nom,prenom,groupe_abrev,groupe_nom,parti_rattachement,dept,circo,period_start,period_end,scrutins_eligibles,votes_exprimes,non_votant,absent,participation_rate,pour_count,contre_count,abst_count,amd_authored,amd_adopted,amd_adoption_rate,amd_cosigned,interventions_count,interventions_chars,top_dossier_id,top_dossier_titre,top_dossier_score
PA794590,Loubet,Alexandre,RN,Rassemblement National,Rassemblement national,Moselle,7,2024-06-30,2026-02-27,5799,1668,0,4131,0.2876,774,757,137,66,4,0.0606,3625,0,0,,,
PA794598,Jacobelli,Laurent,RN,Rassemblement National,Rassemblement national,Moselle,8,2024-07-07,2026-02-27,5799,1815,0,3984,0.3130,920,768,127,186,15,0.0806,3382,0,0,,,
PA794658,Fait,Philippe,HOR,Horizons & Indépendants,Horizons,Pas-de-Calais,4,2024-07-07,2026-02-27,5799,768,0,5031,0.1324,239,459,70,176,2,0.0114,1213,0,0,,,
PA794670,Parmentier,Caroline,RN,Rassemblement National,Rassemblement national,Pas-de-Calais,9,2024-07-07,2026-02-27,5799,1711,0,4088,0.2951,860,683,168,58,1,0.0172,3622,0,0,,,
PA794678,Frappé,Thierry,RN,Rassemblement National,Rassemblement national,Pas-de-Calais,10,2024-06-30,2026-02-27,5799,2853,0,2946,0.4920,1635,981,237,181,2,0.0110,4909,0,0,,,
PA794686,Maximi,Marianne,LFI-NFP,La France insoumise - Nouveau Front Populaire,La France Insoumise,Puy-de-Dôme,1,2024-07-07,2026-02-27,5799,1463,0,4336,0.2523,744,672,47,328,43,0.1311,13935,0,0,,,
PA794702,Lingemann,Delphine,DEM,Les Démocrates,Ensemble ! (majorité présidentielle),Puy-de-Dôme,4,2024-07-07,2026-02-27,5799,1716,0,4083,0.2959,582,1075,59,146,13,0.0890,759,0,0,,,
PA794710,Brugerolles,Julien,GDR,Gauche Démocrate et Républicaine,Parti communiste français,Puy-de-Dôme,5,2024-07-07,2026-02-27,5799,597,0,5202,0.1029,284,255,58,87,14,0.1609,1411,0,0,,,
PA794718,Engrand,Christine,NI,Non inscrit,Non rattaché(s),Pas-de-Calais,6,2024-06-30,2026-02-27,5799,757,0,5042,0.1305,397,276,84,15,0,0.0000,469,0,0,,,
PA794734,Guiniot,Michel,RN,Rassemblement National,Rassemblement national,Oise,6,2024-07-07,2026-02-27,5799,1580,0,4219,0.2725,782,689,109,134,2,0.0149,3807,0,0,,,
PA794762,Dogor-Such,Sandrine,RN,Rassemblement National,Rassemblement national,Pyrénées-Orientales,3,2024-07-07,2026-02-27,5799,2996,0,2803,0.5166,1669,1088,239,271,7,0.0258,5127,0,0,,,
PA794770,Martinez,Michèle,RN,Rassemblement National,Rassemblement national,Pyrénées-Orientales,4,2024-07-07,2026-02-27,5799,1451,0,4348,0.2502,725,619,107,12,2,0.1667,4226,0,0,,,
PA794778,Regol,Sandra,ECOS,Écologiste et Social,Les Écologistes - EELV,Bas-Rhin,1,2024-07-07,2026-02-27,5799,3295,0,2504,0.5682,1651,1389,255,348,60,0.1724,10147,0,0,,,
PA794786,Fernandes,Emmanuel,LFI-NFP,La France insoumise - Nouveau Front Populaire,La France Insoumise,Bas-Rhin,2,2024-07-07,2026-02-27,5799,3479,0,2320,0.5999,1682,1576,221,74,10,0.1351,14186,0,0,,,
PA794798,Buffet,Françoise,EPR,Ensemble pour la République,Ensemble ! (majorité présidentielle),Bas-Rhin,4,2024-07-07,2026-02-27,5799,2457,0,3342,0.4237,763,1656,38,204,20,0.0980,595,0,0,,,
PA794802,Sitzenstuhl,Charles,EPR,Ensemble pour la République,Ensemble ! (majorité présidentielle),Bas-Rhin,5,2024-07-07,2026-02-27,5799,3876,0,1923,0.6684,1294,2548,34,534,39,0.0730,881,0,0,,,
