deputy_id,nom,prenom,groupe_abrev,groupe_nom,parti_rattachement,dept,circo,period_start,period_end,scrutins_eligibles,votes_exprimes,non_votant,absent,participation_rate,pour_count,contre_count,abst_count,amd_authored,amd_adopted,amd_adoption_rate,amd_cosigned,interventions_count,interventions_chars,top_dossier_id,top_dossier_titre,top_dossier_score
PA841931,Mazaury,Laurent,LIOT,"Libertés, Indépendants, Outre-mer et Territoires","Union des démocrates européens, centristes et indépendants",Yvelines,11,2026-01-28,2026-02-27,577,96,0,481,0.1664,43,48,5,32,3,0.0938,89,0,0,,,
PA841947,Hamdane,Zahia,LFI-NFP,La France insoumise - Nouveau Front Populaire,La France Insoumise,Somme,2,2026-01-28,2026-02-27,577,168,0,409,0.2912,75,84,9,0,0,,503,0,0,,,
PA841955,Renault,Matthias,RN,Rassemblement National,Rassemblement national,Somme,3,2026-01-28,2026-02-27,577,126,0,451,0.2184,101,17,8,161,0,0.0000,561,0,0,,,
PA841973,Carbonnel,Pierre-Henri,UDDPLR,Union des droites pour la République,UDR - Union des Droites pour la République,Tarn-et-Garonne,1,2026-01-28,2026-02-27,577,197,0,380,0.3414,130,53,14,2,0,0.0000,22,0,0,,,
PA841981,Rimbert,Catherine,RN,Rassemblement National,Rassemblement national,Vaucluse,5,2026-01-28,2026-02-27,577,227,0,350,0.3934,183,32,12,0,0,,473,0,0,,,
PA842001,Bigot,Guillaume,RN,Rassemblement National,Rassemblement national,Territoire de Belfort,2,2026-01-28,2026-02-27,577,50,0,527,0.0867,31,16,3,2,0,0.0000,364,0,0,,,
PA842013,Gustave,Steevy,ECOS,Écologiste et Social,Les Écologistes - EELV,Essonne,3,2026-01-28,2026-02-27,577,235,0,342,0.4073,65,164,6,0,0,,131,0,0,,,
PA842029,Lejeune,Claire,LFI-NFP,La France insoumise - Nouveau Front Populaire,La France Insoumise,Essonne,7,2026-01-28,2026-02-27,577,160,0,417,0.2773,44,113,3,7,0,0.0000,492,0,0,,,
PA842037,Cernon,Bérenger,LFI-NFP,La France insoumise - Nouveau Front Populaire,La France Insoumise,Essonne,8,2026-01-28,2026-02-27,577,180,0,397,0.3120,78,91,11,3,0,0.0000,496,0,0,,,
PA842045,Ozenne,Julie,ECOS,Écologiste et Social,Les Écologistes - EELV,Essonne,9,2026-01-28,2026-02-27,577,161,0,416,0.2790,63,93,5,2,0,0.0000,134,0,0,,,
PA842073,Dussausaye,Gaëtan,RN,Rassemblement National,Rassemblement national,Vosges,2,2026-01-28,2026-02-27,577,49,0,528,0.0849,29,4,16,6,0,0.0000,352,0,0,,,
PA842085,Humbert,Sébastien,RN,Rassemblement National,Rassemblement national,Vosges,4,2026-01-28,2026-02-27,577,282,0,295,0.4887,209,61,12,17,1,0.0588,274,0,0,,,
PA842097,Roy,Sophie-Laurence,RN,Rassemblement National,Rassemblement national,Yonne,2,2026-01-28,2026-02-27,577,275,0,302,0.4766,217,50,8,31,0,0.0000,568,0,0,,,
PA842105,Arnault,Raphaël,LFI-NFP,La France insoumise - Nouveau Front Populaire,La France Insoumise,Vaucluse,1,2026-01-28,2026-02-27,577,279,0,298,0.4835,75,199,5,0,0,,499,0,0,,,
PA842121,Tryzna,Nicolas,DR,Droite Républicaine,Les Républicains,Val-de-Marne,7,2026-01-28,2026-02-27,577,140,0,437,0.2426,107,32,1,256,1,0.0039,382,0,0,,,
PA842125,Lam,Thomas,HOR,Horizons & Indépendants,Horizons,Hauts-de-Seine,2,2026-01-28,2026-02-27,577,393,0,184,0.6811,210,135,48,5,0,0.0000,123,0,0,,,
PA842141,de Maistre,Élisabeth,DR,Droite Républicaine,Les Républicains,Hauts-de-Seine,9,2026-01-28,2026-02-27,577,112,0,465,0.1941,85,26,1,98,0,0.0000,781,0,0,,,
